bodyId,type,superclass,cable_um,skeleton_nodes,fragments,soma_to_output_um
10054,DNpe013,descending_neuron,8309.130,10018,1,324.201
10056,DNg100,descending_neuron,20557.592,24387,1,411.054
10068,DNp30,descending_neuron,17245.168,12446,4,104.222
10118,DNb05,descending_neuron,10085.141,10906,1,462.211
10123,DNg30,descending_neuron,9986.026,12858,1,180.482
10124,DNg105,descending_neuron,11069.982,11869,1,600.587
10141,DNg15,descending_neuron,6469.493,6148,1,538.632
10195,DNp29,descending_neuron,10497.378,13784,1,192.227
10280,DNp47,descending_neuron,5927.980,6794,2,280.643
10286,DNpe053,descending_neuron,20279.761,14490,1,170.428
10296,DNge054,descending_neuron,7488.435,8437,1,164.297
10341,DNp19,descending_neuron,5802.041,6442,1,425.702
10384,DNp63,descending_neuron,9549.273,12341,1,386.521
10394,DNg98,descending_neuron,15946.787,20355,2,524.959
10411,DNb09,descending_neuron,7514.045,8634,2,427.434
10580,DNp70,descending_neuron,11978.499,15617,1,189.582
10601,DNpe025,descending_neuron,11087.144,13586,1,302.639
10705,DNc02,descending_neuron,24797.725,18046,4,310.687
10711,DNb07,descending_neuron,5713.273,7316,1,492.722
10759,DNb01,descending_neuron,5922.723,6473,1,335.850
10823,DNp48,descending_neuron,8587.006,10847,1,320.386
10833,DNge062,descending_neuron,5879.363,7591,1,164.173
10976,DNge146,descending_neuron,5508.176,6664,2,142.027
10979,DNge103,descending_neuron,7344.878,8988,1,465.538
11066,DNa13,descending_neuron,8456.589,9712,1,677.085
11075,DNg99,descending_neuron,5271.905,5790,1,474.452
11257,DNp45,descending_neuron,8537.686,10995,1,219.585
11261,DNp54,descending_neuron,8569.798,10926,1,307.789
11380,DNp14,descending_neuron,9102.547,11648,1,508.765
11438,DNp33,descending_neuron,2947.397,2799,1,521.430
11527,DNg101,descending_neuron,8480.717,10578,1,341.758
11610,DNae007,descending_neuron,9017.369,11844,1,247.642
11931,DNd04,descending_neuron,9219.482,11964,1,485.139
12222,DNpe031,descending_neuron,8220.744,10603,2,323.307
12224,DNg14,descending_neuron,4165.705,4412,1,731.729
12325,DNp67,descending_neuron,5317.821,6478,1,484.089
12451,DNge128,descending_neuron,3844.690,4879,1,349.985
12516,DNge047,descending_neuron,15027.531,20703,11,237.794
12687,DNge113,descending_neuron,2496.833,3226,1,222.937
12801,DNa05,descending_neuron,4022.344,4281,1,533.826
13514,DNae008,descending_neuron,5215.910,6883,1,527.208
13615,DNbe006,descending_neuron,5848.324,7745,1,425.295
13805,DNg97,descending_neuron,10975.301,12356,3,384.780
13994,DNge172,descending_neuron,5105.503,6564,1,693.036
14114,DNg69,descending_neuron,4717.252,5827,1,533.878
15306,DNpe020,descending_neuron,10601.242,14313,1,395.765
15509,DNge091,descending_neuron,2321.360,3070,1,450.577
15653,DNge012,descending_neuron,4267.068,5315,1,301.182
15995,DNge013,descending_neuron,5479.477,7164,1,550.697
16098,DNge029,descending_neuron,3141.804,4198,1,180.264
16257,DNge091,descending_neuron,2231.779,3098,1,359.430
16731,DNg94,descending_neuron,4466.718,6191,1,384.355
16746,DNge064,descending_neuron,4244.778,5471,1,616.277
16864,DNg59,descending_neuron,3700.330,4680,1,301.931
19489,DNpe010,descending_neuron,2695.554,3597,1,184.417
19631,DNg12_h,descending_neuron,2539.128,3338,1,282.142
20743,DNge019,descending_neuron,2330.608,3127,1,199.492
21122,DNg02_a,descending_neuron,2228.694,3003,2,316.262
22158,DNpe012_b,descending_neuron,2485.137,3504,1,290.880
22627,DNge095,descending_neuron,2296.056,3207,1,446.509
24374,DNg08,descending_neuron,2157.273,3061,1,320.232
24517,DNg53,descending_neuron,2238.257,3038,1,114.113
25249,DNge092,descending_neuron,2150.131,3112,1,247.666
25589,DNg07,descending_neuron,1750.222,2487,1,248.902
26652,DNge094,descending_neuron,1878.444,2688,1,176.357
26743,DNge094,descending_neuron,1568.931,2225,1,204.442
27113,DNge180,descending_neuron,2006.934,2876,1,359.501
27735,DNge110,descending_neuron,2543.326,3557,2,436.105
32288,DNpe015,descending_neuron,1873.494,2739,2,459.123
32413,DNg12_f,descending_neuron,1591.229,2171,1,210.552
34474,DNge089,descending_neuron,1689.505,2466,1,299.651
34649,DNge179,descending_neuron,1539.370,2210,1,137.134
35630,DNp17,descending_neuron,1596.679,2313,1,514.936
38064,DNg07,descending_neuron,1324.059,1925,1,189.307
38848,DNge089,descending_neuron,1881.598,2800,1,249.010
39774,DNpe008,descending_neuron,1317.388,1971,1,523.228
40157,DNg03,descending_neuron,2113.071,3113,1,413.439
40361,DNge024,descending_neuron,1572.394,3970,1,363.749
40782,DNpe008,descending_neuron,1472.264,2171,2,553.128
47402,DNg10,descending_neuron,1201.880,1722,1,174.043
49210,DNpe011,descending_neuron,1671.191,2510,1,547.368
49624,DNg03,descending_neuron,1806.497,2684,4,437.139
50664,DNge071,descending_neuron,1251.611,1811,2,180.954
51024,DNg03,descending_neuron,1802.758,2644,1,436.935
69409,DNg06,descending_neuron,1491.786,2111,1,417.037
225781,DNge179,descending_neuron,1393.064,1995,1,166.749
228714,DNge061,descending_neuron,1742.033,2283,1,369.120
242405,DNge046,descending_neuron,7262.775,9455,1,66.052
302599,DNg02_c,descending_neuron,1847.969,2703,1,475.597
512751,DNge105,descending_neuron,5045.316,6723,1,153.284
513783,DNg01_d,descending_neuron,1974.907,2790,1,447.418
514485,DNg106,descending_neuron,3048.382,4246,1,279.148
514489,DNg49,descending_neuron,7252.156,8381,1,232.122
520300,DNg75,descending_neuron,11262.610,13134,1,362.542
520898,DNb04,descending_neuron,6955.532,8652,1,348.942
523329,DNa10,descending_neuron,7829.861,8434,1,559.055
523378,DNae008,descending_neuron,5601.515,7400,1,521.554
523771,DNge001,descending_neuron,3448.392,4708,3,200.404
523998,pIP10,descending_neuron,10965.622,13608,1,415.935
