node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
DNpe036|R,DNpe036,R,descending,41,31251.26,17,17,0,17,0.54
DNpe034|L,DNpe034,L,descending,25,20748.49,0,17,0,17,0.82
DNg98|L,DNg98,L,descending,172,114640.93,0,16,0,16,0.14
DNg98|R,DNg98,R,descending,177,122750.04,1,16,0,16,0.13
DNg102|L,DNg102,L,descending,101,65886.93,1,15,0,15,0.23
DNpe034|R,DNpe034,R,descending,22,17753.92,0,15,0,15,0.84
DNpe036|L,DNpe036,L,descending,46,34889.48,18,14,0,14,0.40
DNge002|L,DNge002,L,descending,14,5512.44,14,14,0,14,2.54
DNge002|R,DNge002,R,descending,14,5491.66,14,14,0,14,2.55
DNp58|L,DNp58,L,descending,27,20858.79,12,14,0,14,0.67
DNp48|R,DNp48,R,descending,51,36990.47,16,13,0,13,0.35
DNg102|R,DNg102,R,descending,99,67061.58,1,13,0,13,0.19
DNge172|L,DNge172,L,descending,35,27753.08,14,13,0,13,0.47
DNg70|R,DNg70,R,descending,69,49047.34,0,12,0,12,0.24
DNp13|R,DNp13,R,descending,68,44375.35,1,12,0,12,0.27
DNp58|R,DNp58,R,descending,24,17831.66,7,12,0,12,0.67
DNp13|L,DNp13,L,descending,66,42201.92,1,12,0,12,0.28
DNg93|R,DNg93,R,descending,19,10221.58,11,11,0,11,1.08
DNge013|R,DNge013,R,descending,31,19425.01,0,11,0,11,0.57
DNge013|L,DNge013,L,descending,36,22748.80,0,11,0,11,0.48
DNge136|L,DNge136,L,descending,75,54195.35,0,11,0,11,0.20
DNg80|R,DNg80,R,descending,24,16821.92,0,10,0,10,0.59
DNge172|R,DNge172,R,descending,74,56231.72,26,10,0,10,0.18
AN19B025|R,AN19B025,R,ascending,28,15243.03,9,0,9,9,0.59
DNge136|R,DNge136,R,descending,73,51120.95,0,9,0,9,0.18
DNp48|L,DNp48,L,descending,55,42139.15,15,9,0,9,0.21
DNg33|L,DNg33,L,descending,16,12777.23,2,9,0,9,0.70
DNge079|L,DNge079,L,descending,48,24313.54,9,9,0,9,0.37
DNg80|L,DNg80,L,descending,23,15737.39,0,8,0,8,0.51
DNpe040|L,DNpe040,L,descending,15,11284.72,0,8,0,8,0.71
ANXXX071|R,ANXXX071,R,ascending,28,21910.34,8,0,8,8,0.37
DNg105|R,DNg105,R,descending,20,12842.60,8,8,0,8,0.62
DNg33|R,DNg33,R,descending,15,11767.05,2,8,0,8,0.68
DNg93|L,DNg93,L,descending,11,6376.29,7,7,0,7,1.10
DNg76|R,DNg76,R,descending,12,5586.21,7,7,0,7,1.25
DNg50|R,DNg50,R,descending,16,9257.90,5,7,0,7,0.76
ANXXX191|R,ANXXX191,R,ascending,12,5596.17,7,0,7,7,1.25
DNg49|L,DNg49,L,descending,8,2850.09,7,7,0,7,2.46
DNp65|R,DNp65,R,descending,9,6170.07,5,7,0,7,1.13
AN07B042|R,AN07B042,R,ascending,16,5739.93,7,0,7,7,1.22
DNge125|L,DNge125,L,descending,11,4012.39,7,7,0,7,1.74
