randomization,descending_0.01,ascending_0.01,total_0.01,descending_0.02,ascending_0.02,total_0.02,descending_0.05,ascending_0.05,total_0.05,descending_0.1,ascending_0.1,total_0.1,descending_0.2,ascending_0.2,total_0.2,descending_0.3,ascending_0.3,total_0.3,descending_0.5,ascending_0.5,total_0.5
0,8,32,40,63,139,202,414,1555,1969,1941,4707,6648,8154,13092,21246,18543,25149,43692,51769,54703,106472
1,7,31,38,64,152,216,437,1604,2041,2007,4930,6937,8328,13174,21502,18537,25289,43826,52995,54503,107498
2,10,39,49,59,178,237,414,1651,2065,2004,5011,7015,8347,13079,21426,18586,25395,43981,52746,54361,107107
3,11,35,46,53,143,196,412,1669,2081,1928,4978,6906,8156,13403,21559,18286,25693,43979,52739,54967,107706
4,12,41,53,56,186,242,444,1745,2189,1954,4803,6757,8281,12987,21268,18547,25205,43752,52291,54832,107123
5,9,44,53,50,192,242,413,1604,2017,1913,4906,6819,8057,13111,21168,18529,24852,43381,52867,54352,107219
6,14,41,55,58,172,230,458,1612,2070,1981,4871,6852,8359,13292,21651,19003,25852,44855,53476,54691,108167
7,12,37,49,53,188,241,414,1581,1995,1831,4709,6540,8148,12946,21094,18604,25109,43713,52341,54565,106906
8,10,41,51,44,153,197,437,1399,1836,2008,4680,6688,8563,12783,21346,19095,24874,43969,53050,54666,107716
9,11,27,38,52,172,224,430,1669,2099,1859,4996,6855,8112,13460,21572,18224,25855,44079,51830,54676,106506
10,9,30,39,59,161,220,449,1623,2072,1993,4800,6793,8314,13242,21556,18626,25658,44284,53044,54910,107954
11,18,35,53,65,163,228,418,1598,2016,1932,4970,6902,8227,12884,21111,18317,25082,43399,52189,53771,105960
12,10,30,40,54,158,212,463,1611,2074,1998,4836,6834,8348,13339,21687,18542,25565,44107,52354,55080,107434
13,12,22,34,60,164,224,451,1465,1916,1951,4702,6653,8393,12667,21060,18322,24221,42543,52327,53721,106048
14,10,35,45,54,161,215,397,1495,1892,2058,4613,6671,8467,12954,21421,18686,25217,43903,52883,54649,107532
15,18,38,56,62,181,243,421,1642,2063,1965,4824,6789,8485,12831,21316,18520,25012,43532,52619,53940,106559
16,12,39,51,64,156,220,468,1638,2106,1898,5119,7017,8055,13466,21521,18511,25642,44153,53248,55042,108290
17,10,38,48,59,179,238,417,1570,1987,1870,4772,6642,8020,12892,20912,18445,25192,43637,51874,54505,106379
18,8,47,55,52,192,244,410,1609,2019,1952,4799,6751,8167,13065,21232,19071,25677,44748,53029,54712,107741
19,14,31,45,59,149,208,435,1553,1988,1966,4787,6753,8181,12943,21124,18203,25111,43314,52176,53937,106113
20,11,32,43,53,165,218,472,1571,2043,2051,4882,6933,8578,13289,21867,18942,25235,44177,53301,54271,107572
21,16,45,61,69,180,249,468,1649,2117,1987,4980,6967,8238,13365,21603,18562,25311,43873,52667,54583,107250
22,9,41,50,54,183,237,375,1551,1926,1944,4731,6675,8110,12883,20993,18240,25309,43549,51700,54582,106282
23,7,40,47,51,169,220,416,1641,2057,1977,4867,6844,8343,13067,21410,18882,25206,44088,53165,54346,107511
24,14,40,54,50,171,221,426,1607,2033,1836,4970,6806,7892,13296,21188,18147,25874,44021,51498,54622,106120
25,11,35,46,56,193,249,429,1764,2193,2007,4984,6991,8526,13349,21875,18847,25869,44716,53474,55402,108876
26,12,38,50,57,168,225,402,1614,2016,1894,4809,6703,8063,13035,21098,18593,24925,43518,52451,54636,107087
27,14,42,56,64,168,232,475,1538,2013,2028,4678,6706,8354,13077,21431,18853,25179,44032,53443,54974,108417
28,4,52,56,40,205,245,415,1625,2040,1949,4706,6655,8198,12927,21125,18644,25008,43652,52307,54816,107123
29,12,44,56,48,203,251,398,1632,2030,1876,4899,6775,8303,12999,21302,18894,25440,44334,53047,54330,107377
30,13,36,49,54,190,244,422,1639,2061,1882,4940,6822,8152,13378,21530,18518,25284,43802,52628,54818,107446
31,11,30,41,60,184,244,413,1566,1979,1819,4715,6534,8102,12875,20977,18664,25269,43933,53187,54646,107833
32,13,49,62,64,194,258,417,1812,2229,1972,5211,7183,8275,13656,21931,18808,25913,44721,53209,55715,108924
33,13,38,51,58,172,230,434,1544,1978,2043,4725,6768,8264,13043,21307,18485,25340,43825,53220,55021,108241
34,18,28,46,51,155,206,382,1587,1969,1900,4777,6677,8187,13202,21389,18453,25446,43899,51480,54930,106410
35,12,29,41,47,149,196,451,1547,1998,1973,4669,6642,8164,12744,20908,18370,24569,42939,51930,54226,106156
36,11,37,48,79,167,246,475,1588,2063,2126,4891,7017,8387,13454,21841,18753,25608,44361,52481,54696,107177
37,12,28,40,53,156,209,428,1553,1981,1897,4825,6722,8343,13267,21610,18484,25714,44198,53320,54044,107364
38,14,34,48,55,182,237,403,1714,2117,1924,4940,6864,8061,13367,21428,18316,25417,43733,52522,55031,107553
39,16,28,44,65,173,238,393,1622,2015,1924,4828,6752,8008,13231,21239,18022,25396,43418,51901,54524,106425
40,16,30,46,60,164,224,439,1518,1957,1942,4673,6615,8320,13094,21414,18859,25031,43890,53765,54199,107964
41,11,33,44,56,145,201,448,1525,1973,1968,4623,6591,8299,13260,21559,18766,25214,43980,53080,54914,107994
42,8,38,46,57,188,245,422,1552,1974,1933,4801,6734,8053,12961,21014,18072,25176,43248,52381,54587,106968
43,13,38,51,57,161,218,426,1569,1995,1909,4750,6659,7959,13006,20965,18104,25072,43176,52073,54735,106808
44,10,27,37,59,173,232,451,1521,1972,2036,4636,6672,8407,13126,21533,18753,25520,44273,53725,55004,108729
45,20,40,60,60,172,232,455,1657,2112,1925,5040,6965,8529,13236,21765,18996,25589,44585,53339,54947,108286
