bin_start_um,pairs_all,pairs_brain-brain,pairs_vnc-vnc,pairs_cross,edges_all,edges_brain-brain,edges_vnc-vnc,edges_cross
0.0,1444696.0,1208588.0,217760.0,18348.0,16761.0,13864.0,2837.0,60.0
20.0,4665472.0,3824570.0,774434.0,66468.0,24350.0,18807.0,5425.0,118.0
40.0,6777300.0,5388250.0,1284416.0,104634.0,27899.0,19770.0,7958.0,171.0
60.0,8882166.0,6941396.0,1800554.0,140216.0,31472.0,21625.0,9654.0,193.0
80.0,11141020.0,8593376.0,2373586.0,174058.0,37361.0,25498.0,11643.0,220.0
100.0,13589378.0,10455266.0,2928442.0,205670.0,39218.0,25783.0,13207.0,228.0
120.0,16230666.0,12564360.0,3414028.0,252278.0,38564.0,25663.0,12604.0,297.0
140.0,19793030.0,15638820.0,3856438.0,297772.0,42091.0,29437.0,12313.0,341.0
160.0,23682388.0,19273376.0,4084216.0,324796.0,41193.0,29786.0,11084.0,323.0
180.0,25778838.0,21418288.0,4007168.0,353382.0,35355.0,25104.0,9964.0,287.0
200.0,26043866.0,22112722.0,3557558.0,373586.0,28193.0,20685.0,7228.0,280.0
220.0,24728016.0,21386574.0,2954918.0,386524.0,22466.0,16764.0,5433.0,269.0
240.0,22819812.0,19934440.0,2473384.0,411988.0,17602.0,12887.0,4416.0,299.0
260.0,20125454.0,17460832.0,2207124.0,457498.0,12889.0,8545.0,3955.0,389.0
280.0,17503084.0,14955780.0,2043166.0,504138.0,8820.0,5211.0,3211.0,398.0
300.0,15773652.0,13276436.0,1882396.0,614820.0,7389.0,4171.0,2791.0,427.0
320.0,14249942.0,11766106.0,1726262.0,757574.0,5772.0,3003.0,2284.0,485.0
340.0,11571710.0,9071716.0,1547118.0,952876.0,4285.0,1939.0,1735.0,611.0
360.0,9065066.0,6478648.0,1325910.0,1260508.0,3703.0,1726.0,1161.0,816.0
380.0,7720914.0,4899130.0,1069816.0,1751968.0,3206.0,1511.0,782.0,913.0
400.0,6178590.0,3037564.0,799368.0,2341658.0,2577.0,1121.0,502.0,954.0
420.0,4706838.0,1127034.0,601832.0,2977972.0,2078.0,609.0,396.0,1073.0
440.0,4996150.0,757192.0,477610.0,3761348.0,1929.0,507.0,309.0,1113.0
460.0,5936806.0,783206.0,399090.0,4754510.0,1947.0,506.0,261.0,1180.0
480.0,7077826.0,792008.0,357642.0,5928176.0,2218.0,561.0,266.0,1391.0
500.0,7979540.0,637626.0,296534.0,7045380.0,2290.0,514.0,186.0,1590.0
520.0,8750104.0,518876.0,203294.0,8027934.0,2338.0,509.0,176.0,1653.0
540.0,9288598.0,453528.0,114266.0,8720804.0,2151.0,494.0,112.0,1545.0
560.0,9992516.0,379716.0,62288.0,9550512.0,2055.0,423.0,106.0,1526.0
580.0,10852620.0,330466.0,43056.0,10479098.0,1976.0,393.0,102.0,1481.0
600.0,11580696.0,331816.0,36860.0,11212020.0,1814.0,322.0,84.0,1408.0
620.0,11982346.0,294756.0,33978.0,11653612.0,1757.0,231.0,110.0,1416.0
640.0,12051012.0,243636.0,31954.0,11775422.0,1767.0,246.0,103.0,1418.0
660.0,11804702.0,197074.0,31792.0,11575836.0,1666.0,204.0,92.0,1370.0
680.0,11001786.0,146206.0,31380.0,10824200.0,1615.0,169.0,100.0,1346.0
700.0,10376524.0,114022.0,30020.0,10232482.0,1498.0,110.0,91.0,1297.0
720.0,9938050.0,95908.0,28602.0,9813540.0,1427.0,75.0,99.0,1253.0
740.0,9572430.0,82616.0,28040.0,9461774.0,1328.0,75.0,90.0,1163.0
760.0,9318710.0,80494.0,28330.0,9209886.0,1302.0,54.0,101.0,1147.0
780.0,8855918.0,77080.0,29148.0,8749690.0,1182.0,57.0,80.0,1045.0
800.0,8145754.0,69778.0,23778.0,8052198.0,1055.0,48.0,70.0,937.0
820.0,7533356.0,67126.0,18994.0,7447236.0,931.0,49.0,59.0,823.0
840.0,7044642.0,69900.0,16418.0,6958324.0,752.0,59.0,32.0,661.0
860.0,6538376.0,71368.0,14652.0,6452356.0,739.0,55.0,23.0,661.0
880.0,5821706.0,69258.0,9530.0,5742918.0,698.0,60.0,19.0,619.0
900.0,4972890.0,65322.0,5520.0,4902048.0,458.0,40.0,19.0,399.0
920.0,3928782.0,51982.0,2960.0,3873840.0,344.0,49.0,4.0,291.0
940.0,2613196.0,34326.0,634.0,2578236.0,234.0,47.0,0.0,187.0
960.0,1388294.0,17692.0,728.0,1369874.0,112.0,35.0,0.0,77.0
980.0,490302.0,4396.0,428.0,485478.0,54.0,30.0,0.0,24.0
1000.0,34726.0,6.0,0.0,34720.0,3.0,0.0,0.0,3.0
1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
