edges,in_degree_sd,in_degree_max,out_degree_sd,out_degree_max,total_cost_um,median_length_um,cross_compartment_fraction,reciprocity,transitivity,flow,pairs,neck_crossing_edges,rich_routes,model,index
490964,5.65065,55,9.60968,222,9.26263e+07,157.611,0.0808898,0.00362959,0.0050716,8311,275250,39074,5775,G,0
490923,5.67613,56,9.6427,217,9.26468e+07,157.788,0.0811553,0.00398026,0.00501549,8346,275617,39018,7310,G,1
490386,5.66869,60,9.67331,239,9.25774e+07,157.857,0.0808628,0.00367058,0.00505765,8279,275617,39215,6465,G,2
490516,5.68472,57,9.70773,231,9.28135e+07,157.853,0.0819851,0.00386124,0.00505923,8321,275617,39587,7392,G,3
491430,5.67626,58,9.73824,231,9.28583e+07,158.034,0.0812791,0.0039029,0.00511023,8359,275617,39411,6712,G,4
491441,5.69802,63,9.69763,255,9.26103e+07,157.237,0.0812061,0.00376851,0.00515064,8229,275617,39245,6090,G,5
490705,5.70305,68,9.59925,247,9.26301e+07,157.428,0.0810976,0.00379862,0.00512191,8470,275617,39243,6993,G,6
491005,5.6716,70,9.56592,222,9.26727e+07,157.765,0.0806183,0.00401218,0.00510107,8363,275617,39040,6172,G,7
491572,5.67539,60,9.6434,226,9.29503e+07,157.912,0.08116,0.00370648,0.00512125,8357,275250,39407,6223,G,8
490311,5.68341,62,9.64949,212,9.2567e+07,157.871,0.0814646,0.00378943,0.00508039,8430,275617,39289,6286,G,9
490658,5.64845,58,9.63,222,9.24897e+07,157.407,0.0813316,0.00380306,0.00508684,8362,275617,39190,6197,G,10
491122,5.67122,79,9.70177,239,9.27287e+07,157.634,0.0817271,0.00364472,0.00509112,8581,275250,39436,6455,G,11
492206,5.67661,57,9.68636,237,9.29221e+07,157.773,0.0811916,0.00392519,0.00508986,8377,275250,39240,6463,G,12
490100,5.66613,64,9.66355,231,9.25815e+07,157.529,0.0817058,0.00387268,0.00503681,8312,275617,39407,7132,G,13
492008,5.72164,70,9.65844,246,9.29155e+07,157.809,0.0811877,0.00381701,0.00510507,8404,275617,39369,6082,G,14
490256,5.68101,62,9.6545,236,9.23666e+07,157.277,0.0810944,0.0038021,0.00507545,8259,275617,38950,5472,G,15
490727,5.6767,67,9.60449,227,9.2624e+07,157.459,0.0820293,0.00394517,0.00509708,8361,275617,39278,7058,G,16
490952,5.68814,55,9.71761,233,9.28398e+07,157.874,0.0818919,0.00381707,0.00505632,8488,275617,39587,7396,G,17
490524,5.65674,67,9.61055,224,9.26237e+07,157.658,0.0818166,0.0035513,0.00507901,8455,275617,39268,7599,G,18
490788,5.67444,67,9.64127,244,9.26996e+07,157.773,0.0813243,0.00373685,0.00502612,8562,275617,39305,7727,G,19
490980,5.66231,59,9.75309,270,9.29294e+07,157.915,0.0821948,0.00381686,0.00502934,8362,275617,40135,6499,G,20
490171,5.66882,65,9.59104,242,9.24739e+07,157.484,0.0806372,0.00384356,0.00509195,8362,275617,39162,7173,G,21
491631,5.6922,55,9.7654,264,9.27672e+07,157.265,0.0809042,0.0037101,0.00508527,8617,275617,39276,6236,G,22
489845,5.65293,49,9.63393,214,9.24994e+07,157.624,0.081634,0.00367055,0.00508683,8398,275617,39129,7407,G,23
490885,5.67886,59,9.66344,212,9.2697e+07,157.589,0.081624,0.003785,0.00506415,8459,275617,39304,5991,G,24
491773,5.63217,60,9.66154,263,9.27765e+07,157.234,0.0814725,0.00395711,0.00513171,8391,275617,39574,7463,G,25
492015,5.6107,65,9.6352,209,9.2805e+07,157.6,0.0816804,0.00383728,0.00513729,8381,275617,39214,6274,G,26
491561,5.69202,51,9.65379,249,9.2685e+07,157.47,0.0813938,0.00388151,0.00506724,8334,275617,39160,6425,G,27
492171,5.70574,50,9.69984,251,9.29687e+07,157.739,0.0814818,0.00358818,0.00520398,8269,275617,39227,7072,G,28
490901,5.63757,52,9.6056,241,9.25386e+07,157.473,0.0802198,0.0038134,0.00515716,8299,275617,39009,5946,G,29
490431,5.69123,49,9.64989,243,9.2433e+07,157.44,0.0813754,0.00372733,0.00506416,8150,275617,39167,6391,G,30
490223,5.6825,56,9.64334,247,9.24746e+07,157.649,0.0808102,0.00401858,0.00510287,8053,275250,39066,6546,G,31
491270,5.63531,75,9.68091,244,9.28243e+07,157.732,0.0818572,0.00372097,0.00505958,8312,275617,39258,6316,G,32
491844,5.66825,67,9.67909,232,9.28958e+07,157.826,0.0812412,0.00376136,0.00508517,8345,275617,39368,6164,G,33
490722,5.67068,58,9.66229,235,9.2751e+07,157.746,0.0818243,0.0037618,0.00505131,8313,275617,39414,7018,G,34
490683,5.68194,53,9.59816,219,9.25611e+07,157.33,0.0811868,0.00383955,0.00504931,8315,275617,39098,7091,G,35
491283,5.67494,59,9.64877,231,9.2713e+07,157.411,0.0806521,0.00370866,0.00507683,8406,275617,39147,6033,G,36
490436,5.66384,82,9.68105,229,9.26344e+07,157.59,0.0813745,0.00369875,0.00505923,8269,275617,39227,6719,G,37
490530,5.66664,62,9.59066,233,9.25339e+07,157.554,0.0811204,0.00392229,0.00501905,8258,275617,39148,6798,G,38
490421,5.69125,63,9.65242,248,9.25381e+07,157.478,0.0815218,0.00380489,0.00504781,8474,275617,39035,7136,G,39
491277,5.66455,70,9.61351,212,9.28377e+07,157.646,0.0814388,0.00373313,0.00509457,8338,275617,39252,6091,G,40
491171,5.6797,58,9.58967,221,9.2587e+07,157.486,0.0807519,0.00367286,0.00499957,8348,275617,38964,6327,G,41
490922,5.68104,64,9.65434,231,9.2596e+07,157.316,0.0815853,0.00362583,0.0051049,8377,275617,39234,5338,G,42
491048,5.71083,57,9.65418,241,9.26539e+07,157.499,0.08132,0.00393444,0.00512467,8392,275617,39231,6361,G,43
491002,5.65522,67,9.61823,229,9.27239e+07,157.444,0.0815394,0.00390222,0.00506865,8333,275617,39353,5857,G,44
491296,5.72938,60,9.6623,241,9.27478e+07,157.633,0.0812219,0.00367192,0.00508208,8454,275617,39140,7600,G,45
