permutation,primary,weighted,within_compartment,synapse_positions
0,2.02392e+08,3.15865e+10,1.28066e+08,1.75334e+08
1,2.02991e+08,3.24174e+10,1.2821e+08,1.75964e+08
2,2.03083e+08,3.24315e+10,1.27953e+08,1.76428e+08
3,2.01772e+08,3.22041e+10,1.28212e+08,1.75083e+08
4,2.0264e+08,3.28109e+10,1.27998e+08,1.75785e+08
5,2.03097e+08,3.33668e+10,1.28227e+08,1.7588e+08
6,2.02659e+08,3.22466e+10,1.27735e+08,1.76052e+08
7,2.02701e+08,3.24025e+10,1.28053e+08,1.75387e+08
8,2.03188e+08,3.2269e+10,1.27643e+08,1.76077e+08
9,2.02906e+08,3.1596e+10,1.27808e+08,1.75958e+08
10,2.02525e+08,3.15166e+10,1.27921e+08,1.75611e+08
11,2.02905e+08,3.25558e+10,1.27952e+08,1.75851e+08
12,2.02958e+08,3.07543e+10,1.27984e+08,1.75922e+08
13,2.02803e+08,3.16985e+10,1.27965e+08,1.75613e+08
14,2.03734e+08,3.23728e+10,1.27876e+08,1.76613e+08
15,2.02531e+08,3.14833e+10,1.27862e+08,1.7555e+08
16,2.03098e+08,3.14972e+10,1.28011e+08,1.75893e+08
17,2.034e+08,3.29168e+10,1.27706e+08,1.75871e+08
18,2.02776e+08,3.25491e+10,1.28145e+08,1.75678e+08
19,2.03061e+08,3.2517e+10,1.27907e+08,1.76041e+08
20,2.04115e+08,3.16162e+10,1.28161e+08,1.76774e+08
21,2.03187e+08,3.18517e+10,1.27747e+08,1.7629e+08
22,2.02629e+08,3.17855e+10,1.28093e+08,1.75879e+08
23,2.02739e+08,3.20942e+10,1.27912e+08,1.76024e+08
24,2.03969e+08,3.29634e+10,1.27663e+08,1.76864e+08
25,2.03795e+08,3.30988e+10,1.27981e+08,1.76668e+08
26,2.03386e+08,3.29778e+10,1.2815e+08,1.76556e+08
27,2.03057e+08,3.20256e+10,1.27774e+08,1.75872e+08
28,2.03343e+08,3.16426e+10,1.27983e+08,1.76178e+08
29,2.02976e+08,3.17116e+10,1.28189e+08,1.75497e+08
30,2.02678e+08,3.1712e+10,1.27662e+08,1.75829e+08
31,2.03336e+08,3.23626e+10,1.2776e+08,1.7618e+08
32,2.02398e+08,3.22462e+10,1.28077e+08,1.75146e+08
33,2.03271e+08,3.27019e+10,1.27911e+08,1.76171e+08
34,2.03143e+08,3.23786e+10,1.27586e+08,1.75885e+08
35,2.02259e+08,3.21781e+10,1.28061e+08,1.75498e+08
36,2.03043e+08,3.26259e+10,1.27792e+08,1.75929e+08
37,2.03503e+08,3.25597e+10,1.27926e+08,1.76204e+08
38,2.02226e+08,3.22973e+10,1.277e+08,1.75407e+08
39,2.02902e+08,3.32979e+10,1.2799e+08,1.75787e+08
40,2.02903e+08,3.28632e+10,1.27823e+08,1.75696e+08
41,2.03091e+08,3.20172e+10,1.27896e+08,1.76353e+08
42,2.03508e+08,3.24433e+10,1.2809e+08,1.76139e+08
43,2.02569e+08,3.17069e+10,1.27776e+08,1.75717e+08
44,2.02674e+08,3.1121e+10,1.28003e+08,1.7551e+08
45,2.03069e+08,3.25858e+10,1.28145e+08,1.76101e+08
46,2.02562e+08,3.23691e+10,1.28087e+08,1.7548e+08
47,2.02495e+08,3.17866e+10,1.28187e+08,1.75284e+08
48,2.02696e+08,3.30198e+10,1.27889e+08,1.75638e+08
49,2.03466e+08,3.22308e+10,1.2837e+08,1.76304e+08
50,2.02612e+08,3.20864e+10,1.27843e+08,1.75776e+08
51,2.03979e+08,3.22247e+10,1.28232e+08,1.76658e+08
52,2.03087e+08,3.25191e+10,1.2778e+08,1.76156e+08
53,2.02903e+08,3.30871e+10,1.28096e+08,1.75772e+08
54,2.0323e+08,3.24323e+10,1.2836e+08,1.76265e+08
55,2.03139e+08,3.16401e+10,1.28409e+08,1.76157e+08
56,2.02781e+08,3.19342e+10,1.27861e+08,1.75991e+08
57,2.0336e+08,3.2688e+10,1.28264e+08,1.76285e+08
58,2.03267e+08,3.24388e+10,1.27734e+08,1.76376e+08
59,2.03139e+08,3.30381e+10,1.27836e+08,1.76052e+08
60,2.03568e+08,3.22674e+10,1.27423e+08,1.76092e+08
61,2.02763e+08,3.2777e+10,1.28174e+08,1.75753e+08
62,2.03299e+08,3.19021e+10,1.28191e+08,1.76118e+08
63,2.03373e+08,3.24547e+10,1.28051e+08,1.76214e+08
